 ,Tag Type,Tag Value
Karim Aïnouz,Person,Karim Aïnouz
Karim Aïnouz,Person,Aïnouz
Karim Aïnouz,Person,Studies
Karim Aïnouz,Person,Aïnouz
Karim Aïnouz,Person,Madame Satã
Karim Aïnouz,Person,Violeta
Karim Aïnouz,Origin,Brazilian
Karim Aïnouz,Origin,Algerian
Karim Aïnouz,Organization,University of Brasilia
Karim Aïnouz,Organization,New York University
Karim Aïnouz,Organization,Whitney Museum of 
Karim Aïnouz,Organization,Sky
Karim Aïnouz,Organization,Whitney Museum of 
Karim Aïnouz,Organization,São Paulo Biennial
Karim Aïnouz,Location,Berlin
Karim Aïnouz,Location,Cannes
Karim Aïnouz,Location,Venice
Karim Aïnouz,Date,2002
Karim Aïnouz,Date,2006
Karim Aïnouz,Date,2009
Karim Aïnouz,Date,1996
Karim Aïnouz,Date,1993
Karim Aïnouz,Date,1997
Karim Aïnouz,Date,2004
Karim Aïnouz,Address,http://www.sharjahart.org/people/people-by-alphabet/a/aanouz-karim
