Tag Type, ,Tag Value,latlng
Person,Karim Aïnouz,Karim Aïnouz,
Person,Karim Aïnouz,Aïnouz,
Person,Karim Aïnouz,Studies,
Person,Karim Aïnouz,Aïnouz,
Person,Karim Aïnouz,Madame Satã,
Person,Karim Aïnouz,Violeta,
Origin,Karim Aïnouz,Brazilian,
Origin,Karim Aïnouz,Algerian,
Organization,Karim Aïnouz,University of Brasilia,
Organization,Karim Aïnouz,New York University,
Organization,Karim Aïnouz,Whitney Museum of ,
Organization,Karim Aïnouz,Sky,
Organization,Karim Aïnouz,Whitney Museum of ,
Organization,Karim Aïnouz,São Paulo Biennial,
Location,Karim Aïnouz,Berlin,"'lat': 52.52000659999999, 'lng': 13.404954"
Location,Karim Aïnouz,Cannes,"'lat': 43.552847, 'lng': 7.017369"
Location,Karim Aïnouz,Venice,"'lat': 45.4408474, 'lng': 12.3155151"
Date,Karim Aïnouz,2002,
Date,Karim Aïnouz,2006,
Date,Karim Aïnouz,2009,
Date,Karim Aïnouz,1996,
Date,Karim Aïnouz,1993,
Date,Karim Aïnouz,1997,
Date,Karim Aïnouz,2004,
Address,Karim Aïnouz,http://www.sharjahart.org/people/people-by-alphabet/a/aanouz-karim,
